GSC — Search Performance (organic search analytics),,,,
4 endpoint(s). Mock definitions — assume realistic data shapes.,,,,
,,,,
searchanalytics.query [POST] POST /webmasters/v3/sites/{siteUrl}/searchAnalytics/query,,,,
"Primary performance endpoint. Returns clicks, impressions, CTR, position grouped by dimensions. Single source of truth for organic search performance.",,,,
INPUTS,,,,
Name,Type,Required,What it is,Why it matters
siteUrl,string (path),Y,Property identifier — 'sc-domain:acme.com' for domain property or 'https://acme.com/' for URL-prefix property,Which site are we querying?
startDate,string,Y,YYYY-MM-DD. Earliest available ~16 months back,When does the analysis window start?
endDate,string,Y,YYYY-MM-DD. Most recent data has 24-48 hour lag,When does the analysis window end? How recent is the data?
dimensions,array<string>,N,"Subset of: query, page, country, device, searchAppearance, date","What perspective do I want — by keyword, by URL, by country, by device, by SERP feature, or trend over time?"
type,string,N,web | image | video | news | discover | googleNews. Default 'web',Which search vertical — main web search vs Discover vs News vs Images?
dataState,string,N,"'final' (default, fully processed) | 'all' (includes fresh 1-2 day data, may revise)",Do I need today's preliminary numbers or do I want stable historical data?
aggregationType,string,N,auto | byPage | byProperty. Determines how clicks are deduplicated,Should I count clicks per landing page (multiple per query OK) or per property (one credit per impression)?
rowLimit,int,N,"Max 25,000 per request. Default 1,000",How many rows do I want back this call?
startRow,int,N,Pagination offset,Where in the result set should I resume? (for paginating beyond 25K rows)
dimensionFilterGroups,array<object>,N,"Filter clauses with operators: equals, contains, notContains, notEquals, includingRegex, excludingRegex","How do I narrow results — only branded queries, only mobile, only one country, only specific URL pattern?"
OUTPUTS,,,,
Name,Type,,What it is,Why it matters
rows[].keys,array<string>,,Dimension values in the order specified in input dimensions,What is this row about — which keyword/page/country/device combo?
rows[].clicks,int,,Number of clicks from Google search to your site for this dimension combination,How many people actually arrived from search? — direct traffic count
rows[].impressions,int,,Number of times your URL appeared in search results,How visible was I? — exposure / how many SERPs included me
rows[].ctr,float (0-1),,clicks ÷ impressions,"Of people who saw me, how many clicked? — title/meta effectiveness, snippet appeal"
rows[].position,float,,"Average ranking position weighted by impressions. 1-based, lower is better",Where am I ranking on average? — primary ranking metric
responseAggregationType,string,,byPage | byProperty — how Google actually aggregated,"Did Google honor my requested aggregation, or did it fall back?"
,,,,
urlInspection.index.inspect [POST] POST /v1/urlInspection/index:inspect,,,,
"Per-URL diagnostic. Returns indexation status, mobile usability, rich results detection, last crawl, canonical resolution. GSC URL Inspection equivalent.",,,,
INPUTS,,,,
Name,Type,Required,What it is,Why it matters
inspectionUrl,string,Y,"Full URL to inspect, must belong to verified property",Which specific page do I want to diagnose?
siteUrl,string,Y,Verified property identifier,Which property does this URL belong to?
languageCode,string,N,BCP-47 e.g. 'en-US'. Default 'en-US',Which locale's index version to inspect?
OUTPUTS,,,,
Name,Type,,What it is,Why it matters
indexStatusResult.verdict,string,,PASS | PARTIAL | FAIL | NEUTRAL,"At a glance — is this page healthy, broken, or somewhere in between?"
indexStatusResult.coverageState,string,,"Free-text state e.g. 'Submitted and indexed', 'Crawled - currently not indexed', 'Discovered - currently not indexed'",Why specifically is the page in this state? — diagnostic root cause
indexStatusResult.robotsTxtState,string,,ALLOWED | DISALLOWED | ROBOTS_TXT_STATE_UNSPECIFIED,Is robots.txt blocking Googlebot from crawling this URL?
indexStatusResult.indexingState,string,,INDEXING_ALLOWED | BLOCKED_BY_META_TAG | BLOCKED_BY_HTTP_HEADER | BLOCKED_BY_ROBOTS_TXT,"Is the page allowed to be indexed? If blocked, what is the blocker — meta tag, HTTP header, or robots?"
indexStatusResult.lastCrawlTime,datetime,,ISO 8601 timestamp of most recent Googlebot crawl,How recently has Google looked at this page? Is the crawl stale?
indexStatusResult.pageFetchState,string,,SUCCESSFUL | SOFT_404 | BLOCKED_ROBOTS_TXT | NOT_FOUND | ACCESS_DENIED | SERVER_ERROR | REDIRECT_ERROR | ACCESS_FORBIDDEN | BLOCKED_4XX | INTERNAL_CRAWL_ERROR | INVALID_URL,"When Google last tried to fetch this page, what happened? Is the server returning errors?"
indexStatusResult.googleCanonical,string,,URL Google chose as the canonical (master) version,Which version of this page is Google treating as authoritative?
indexStatusResult.userCanonical,string,,URL declared by your rel=canonical tag,Which version did I tell Google was canonical?
indexStatusResult.sitemap,array<string>,,Sitemap URLs containing this URL,Did I declare this URL in any sitemap? Which one?
indexStatusResult.referringUrls,array<string>,,Pages on the web Google found pointing to this URL,Where did Google discover this URL from? — internal/external link discovery audit
mobileUsabilityResult.verdict,string,,PASS | PARTIAL | FAIL | NEUTRAL,Is this page usable on mobile?
