"Semrush — Third-party SEO (rankings, keywords, competitors, backlinks)",,,,
6 endpoint(s). Mock definitions — assume realistic data shapes.,,,,
,,,,
domain_organic [GET] GET /?type=domain_organic&key={k}&domain={d}&database={db},,,,
"Every organic keyword the domain ranks for in top 100. Most-used Semrush endpoint — keyword discovery, position monitoring, competitive intel.",,,,
INPUTS,,,,
Name,Type,Required,What it is,Why it matters
"key, type, domain, database",—,Y,Standard required params,"Standard Semrush call parameters: API key (auth), endpoint type, the domain to analyse, and which country database to query (e.g. us, uk, in)."
display_limit,int,N,"Default 10K, max 100K per call",How many keywords this call?
display_offset,int,N,Pagination offset,Skip first N for paginating
display_sort,string,N,tr_desc | po_asc | po_desc | nq_desc | cp_desc | tc_desc,"How to sort — by traffic, position, volume, CPC, traffic cost?"
display_filter,string,N,Filter rules e.g. '+|Po|Lt|10' (position less than 10) or '+|Nq|Gt|1000|*|Po|Lt|20',"Narrow to e.g. only top-10 positions, only high-volume keywords"
display_positions,string,N,new | lost | rising | declining | improved | declined,"Show only newly-ranking, lost, rising, or declining keywords"
export_columns,string,N,Ph|Po|Pp|Pd|Nq|Cp|Ur|Tr|Tc|Co|Nr|Td|Fp|Fk,Which specific columns you want back — lets you trim the payload to just the metrics you need.
OUTPUTS,,,,
Name,Type,,What it is,Why it matters
Ph,string,,Keyword phrase,Which keyword is this row about?
Po,int,,Current ranking position (1-100),Where am I currently ranking?
Pp,int,,Previous position (prior period),Where was I ranking before?
Pd,int,,"Position difference (Po - Pp). Negative = improved, positive = dropped","Did I move up or down, by how much?"
Nq,int,,Monthly search volume in selected database,How much demand is there for this keyword?
Cp,float,,Average CPC USD (Google Ads bidding indicator of commercial value),How commercially valuable is this keyword?
Ur,string,,URL ranking for this keyword,URL — which specific landing page is ranking for this keyword.
Tr,float (0-1),,Estimated share of domain's traffic from this keyword,How much of the domain's traffic does this keyword drive?
Tc,float,,Estimated USD value of this keyword's traffic,What's the dollar value of this keyword to me?
Co,float (0-1),,Paid competition density (1 = many advertisers competing),How crowded is the paid SERP for this term?
Nr,int,,Total SERP results count,How big is the competing field?
